respondent_id,Please indicate your age,Please indicate your race - Selected Choice,Please indicate your race - Other - Text,Are you Hispanic or Latino?,How would you describe the area where you grew up?,How would you describe the area in which you currently live?,In which region of the United States do you currently live?,Please indicate your annual household income,Education,Which employment status best describes you?,How would you describe your current living situation (check all that apply) - Selected Choice,How would you describe your current living situation (check all that apply) - Other - Text,Please indicate your political identification,Please indicate your gender
400,50-59,White,,Yes,Urban,Urban,South,"$10,000 - $14,999",Bachelor's degree,Working part-time,I live with family members,,Somewhat liberal,Female
401,60-69,White,,Yes,Suburban,Suburban,Northeast,"$75,000 - $99,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
402,50-59,White,,Yes,Suburban,Suburban,Northeast,"$25,000 - $34,999",Some college or associate's degree,Working full-time,I live alone,,Somewhat conservative,Female
403,50-59,White,,No,Urban,Urban,West,"$100,000 - $149,999",Graduate or professional degree,Working full-time,I live with family members,,Very liberal,Male
404,50-59,White,,No,Suburban,Suburban,South,"$15,000 - $24,999",Some college or associate's degree,Working part-time,I live with family members,,Very liberal,Female
405,60-69,White,,No,Suburban,Suburban,West,"$25,000 - $34,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Female
406,50-59,White,,Yes,Rural,Rural,South,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with family members,,Moderate,Female
407,50-59,Other,,Yes,Rural,Urban,Midwest,"Less than $10,000","High school graduate, GED, or equivalent",On disability,I live alone,,Very liberal,Female
408,60-69,White,,Yes,Urban,Urban,Midwest,"$35,000 - $49,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Somewhat conservative,Female
409,70-79,White,,No,Suburban,Rural,West,"$50,000 - $74,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Female
410,70-79,White,,Yes,Rural,Rural,South,"$10,000 - $14,999",Some college or associate's degree,Retired,I live alone,,Moderate,Female
411,60-69,White,,Yes,Rural,Rural,Midwest,"$75,000 - $99,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Female
412,70-79,Other,human,Yes,Urban,Urban,South,"More than $200,000",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
413,60-69,White,,No,Rural,Suburban,Northeast,"$50,000 - $74,999",Some college or associate's degree,Unemployed,I live with family members,,Moderate,Female
414,60-69,White,,No,Rural,Rural,Northeast,"$50,000 - $74,999",Some college or associate's degree,Working part-time,I live with family members,,Moderate,Female
415,60-69,White,,No,Rural,Rural,South,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
416,50-59,White,,Yes,Urban,Urban,South,"$75,000 - $99,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat liberal,Female
417,70-79,White,,No,Suburban,Rural,Northeast,"$15,000 - $24,999",Some college or associate's degree,Retired,I live alone,,Somewhat conservative,Female
418,50-59,White,,Yes,Urban,Suburban,South,"$25,000 - $34,999","High school graduate, GED, or equivalent",Unemployed,I live with a spouse or romantic partner,,Moderate,Female
419,50-59,White,,Yes,Urban,Urban,Northeast,"$25,000 - $34,999","High school graduate, GED, or equivalent",On disability,I live with family members,,Moderate,Male
420,50-59,White,,No,Rural,Rural,West,"$35,000 - $49,999",Some college or associate's degree,On disability,I live with a spouse or romantic partner,,Somewhat liberal,Female
421,60-69,White,,Yes,Urban,Urban,South,"$25,000 - $34,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Moderate,Female
422,60-69,White,,No,Suburban,Suburban,West,"$25,000 - $34,999",Some college or associate's degree,Retired,I live alone,,Moderate,Female
423,70-79,White,,No,Rural,Rural,Midwest,"$15,000 - $24,999","High school graduate, GED, or equivalent",On disability,I live alone,,Moderate,Female
424,60-69,White,,No,Rural,Urban,South,"$50,000 - $74,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Female
425,50-59,Black or African American,,No,Urban,Urban,South,"Less than $10,000","High school graduate, GED, or equivalent",Working part-time,I live with a spouse or romantic partner,,Very conservative,Female
426,60-69,White,,No,Suburban,Urban,West,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Female
427,50-59,Black or African American,,No,Urban,Urban,Midwest,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with family members,,Very liberal,Male
428,50-59,White,,No,Rural,Rural,Northeast,"$15,000 - $24,999",Some college or associate's degree,On disability,I live with a spouse or romantic partner,,Moderate,Female
429,50-59,White,,No,Rural,Rural,Northeast,"$75,000 - $99,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Very conservative,Female
430,50-59,White,,No,Rural,Suburban,Northeast,"$35,000 - $49,999",Bachelor's degree,Working full-time,I live alone,,Very conservative,Female
431,50-59,White,,No,Suburban,Rural,South,"Less than $10,000","High school graduate, GED, or equivalent",Unemployed,I live with family members,,Moderate,Female
432,50-59,White,,No,Rural,Rural,West,"$15,000 - $24,999",Some college or associate's degree,Retired,I live with family members,,Moderate,Female
433,50-59,Asian,,No,Suburban,Suburban,West,"Less than $10,000",Some college or associate's degree,On disability,I live with family members,,Moderate,Female
434,50-59,Black or African American,,No,Rural,Rural,South,"$25,000 - $34,999",Some college or associate's degree,Working full-time,I live alone,,Very conservative,Female
435,60-69,Asian,,No,Suburban,Suburban,Midwest,"$25,000 - $34,999",Bachelor's degree,Retired,I live alone,,Moderate,Female
436,50-59,Black or African American,,No,Rural,Rural,South,"$25,000 - $34,999",Some college or associate's degree,Working full-time,I live alone,,Moderate,Female
437,60-69,Other,human,No,Urban,Urban,Midwest,"$10,000 - $14,999","High school graduate, GED, or equivalent",Retired,I live alone,,Very liberal,Male
438,60-69,Asian,,No,Suburban,Suburban,West,"$150,000 - $199,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Female
439,50-59,Asian,,No,Urban,Urban,West,"$25,000 - $34,999",Bachelor's degree,Working part-time,I live alone,,Somewhat conservative,Female
440,60-69,Black or African American,,No,Rural,Rural,South,"$35,000 - $49,999",Some college or associate's degree,Working part-time,I live with family members,,Very conservative,Female
441,60-69,Asian,,No,Urban,Urban,Northeast,"$35,000 - $49,999","High school graduate, GED, or equivalent",Working full-time,I live with a spouse or romantic partner,,Moderate,Male
442,60-69,White,,No,Urban,Suburban,Northeast,"$75,000 - $99,999",Graduate or professional degree,Unemployed,I live alone,,Moderate,Female
443,50-59,Black or African American,,No,Urban,Urban,South,"$25,000 - $34,999",Some college or associate's degree,Unemployed,I live with a spouse or romantic partner,,Somewhat liberal,Female
444,60-69,Black or African American,,No,Suburban,Suburban,Midwest,"Less than $10,000","High school graduate, GED, or equivalent",Retired,I live with family members,,Very liberal,Female
445,50-59,Black or African American,,No,Urban,Urban,Midwest,"$50,000 - $74,999",Some college or associate's degree,Working full-time,I live alone,,Very conservative,Male
446,50-59,Asian,,No,Suburban,Suburban,West,"$100,000 - $149,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
447,60-69,Black or African American,,No,Urban,Urban,West,"$10,000 - $14,999",Some college or associate's degree,Retired,I live alone,,Very liberal,Male
448,60-69,Black or African American,,No,Urban,Rural,Midwest,"$75,000 - $99,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Very liberal,Female
449,60-69,Black or African American,,No,Urban,Urban,Midwest,"$50,000 - $74,999",Some college or associate's degree,Working full-time,Other,,Moderate,Female
450,50-59,Black or African American,,No,Rural,Urban,South,"$35,000 - $49,999",Some college or associate's degree,Working full-time,I live alone,,Moderate,Female
451,50-59,White,,No,Suburban,Suburban,Midwest,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Female
452,50-59,Asian,,No,Urban,Urban,Midwest,"$100,000 - $149,999",Graduate or professional degree,Working full-time,I live alone,,Moderate,Female
453,60-69,Other,Navajo/White,No,Rural,Suburban,Midwest,"$25,000 - $34,999",Some college or associate's degree,Working part-time,I live alone,,Moderate,Female
454,50-59,White,,No,Suburban,Suburban,Northeast,"Less than $10,000",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat liberal,Female
455,60-69,Black or African American,,No,Suburban,Rural,South,"$10,000 - $14,999",Bachelor's degree,Working part-time,I live with a spouse or romantic partner,,Very liberal,Female
456,50-59,Other,,No,Suburban,Rural,South,"$100,000 - $149,999",Bachelor's degree,Retired,I live alone,,Moderate,Female
457,50-59,Native Hawaiian or Pacific Islander,,No,Suburban,Suburban,Northeast,"More than $200,000",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
458,60-69,Black or African American,,No,Urban,Suburban,Northeast,"$75,000 - $99,999",Some college or associate's degree,Working full-time,I live with family members,,Moderate,Female
459,50-59,Black or African American,,No,Urban,Urban,Midwest,"$25,000 - $34,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Very liberal,Female
460,50-59,Black or African American,,No,Urban,Urban,Midwest,"$150,000 - $199,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
461,50-59,Black or African American,,No,Rural,Rural,South,"$10,000 - $14,999",Some college or associate's degree,On disability,I live alone,,Somewhat liberal,Male
462,50-59,White,,No,Rural,Rural,Midwest,"Less than $10,000","High school graduate, GED, or equivalent",On disability,I live alone,,Somewhat conservative,Female
463,50-59,Asian,,No,Suburban,Suburban,South,"$150,000 - $199,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Very conservative,Male
464,50-59,Black or African American,,No,Urban,Urban,South,"$15,000 - $24,999",Some college or associate's degree,Retired,I live alone,,Somewhat conservative,Female
465,60-69,Black or African American,,No,Rural,Urban,South,"Less than $10,000",Some college or associate's degree,Working part-time,I live alone,,Very liberal,Female
466,50-59,Black or African American,,No,Rural,Rural,South,"$15,000 - $24,999",Graduate or professional degree,Working part-time,I live with family members,,Very liberal,Female
467,60-69,White,,No,Rural,Rural,South,"$50,000 - $74,999",Some college or associate's degree,Retired,I live alone,,Somewhat conservative,Female
468,60-69,Black or African American,,No,Urban,Urban,South,"$35,000 - $49,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Moderate,Male
469,50-59,Black or African American,,No,Urban,Urban,Northeast,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
470,50-59,Black or African American,,No,Rural,Rural,South,"$10,000 - $14,999","High school graduate, GED, or equivalent",On disability,I live alone,,Moderate,Female
471,60-69,White,,No,Suburban,Rural,West,"$15,000 - $24,999",Bachelor's degree,Retired,I live with family members,,Moderate,Male
472,50-59,White,,No,Suburban,Suburban,Midwest,"$15,000 - $24,999","High school graduate, GED, or equivalent",On disability,I live with a spouse or romantic partner,,Somewhat conservative,Male
473,70-79,White,,No,Suburban,Urban,Northeast,"$15,000 - $24,999",Bachelor's degree,Unemployed,I live alone,,Somewhat conservative,Female
474,60-69,White,,No,Suburban,Suburban,Northeast,"$35,000 - $49,999",Bachelor's degree,Working full-time,I live alone,,Very liberal,Female
475,60-69,White,,No,Suburban,Suburban,Midwest,"$75,000 - $99,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat liberal,Male
476,70-79,White,,No,Rural,Suburban,South,"$25,000 - $34,999",Bachelor's degree,Retired,I live alone,,Somewhat liberal,Male
477,60-69,White,,No,Suburban,Suburban,South,"$35,000 - $49,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Very conservative,Female
478,60-69,White,,No,Urban,Urban,West,"$50,000 - $74,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Somewhat liberal,Female
479,60-69,White,,No,Suburban,Suburban,South,"$100,000 - $149,999",Some college or associate's degree,Unemployed,I live with a spouse or romantic partner,,Somewhat conservative,Female
480,70-79,White,,No,Rural,Suburban,South,"$15,000 - $24,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Female
481,70-79,White,,No,Rural,Rural,Midwest,"$35,000 - $49,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Moderate,Male
482,50-59,White,,No,Suburban,Suburban,South,"$25,000 - $34,999","High school graduate, GED, or equivalent",Working full-time,I live alone,,Moderate,Female
483,50-59,White,,No,Suburban,Rural,South,"$75,000 - $99,999","High school graduate, GED, or equivalent",Unemployed,I live with a spouse or romantic partner,,Moderate,Female
484,70-79,White,,No,Suburban,Suburban,Northeast,"$100,000 - $149,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Female
485,80-89,White,,No,Suburban,Urban,Northeast,"$50,000 - $74,999",Bachelor's degree,Retired,I live alone,,Moderate,Female
486,70-79,White,,No,Rural,Urban,Midwest,"$75,000 - $99,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
487,80-89,White,,No,Suburban,Suburban,South,"$150,000 - $199,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Female
488,60-69,White,,No,Suburban,Urban,Northeast,"$50,000 - $74,999",Bachelor's degree,Retired,I live alone,,Somewhat liberal,Male
489,60-69,White,,No,Suburban,Suburban,South,"$100,000 - $149,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
490,60-69,White,,No,Urban,Suburban,Northeast,"$35,000 - $49,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Male
491,50-59,White,,No,Suburban,Suburban,Midwest,"$15,000 - $24,999",Some college or associate's degree,Working part-time,I live alone,,Somewhat liberal,Female
492,60-69,White,,No,Suburban,Suburban,South,"$50,000 - $74,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
493,70-79,White,,No,Rural,Suburban,Midwest,"$35,000 - $49,999",Graduate or professional degree,Working part-time,I live alone,,Very conservative,Male
494,60-69,White,,No,Rural,Rural,South,"$25,000 - $34,999",Some college or associate's degree,Retired,I live alone,,Somewhat conservative,Female
495,70-79,White,,No,Urban,Urban,Northeast,"$75,000 - $99,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
496,70-79,White,,No,Suburban,Suburban,Midwest,"$15,000 - $24,999","High school graduate, GED, or equivalent",Retired,I live alone,,Moderate,Female
497,50-59,White,,No,Rural,Urban,South,"$35,000 - $49,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat liberal,Male
498,70-79,White,,No,Rural,Rural,South,"$50,000 - $74,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
499,80-89,White,,No,Suburban,Suburban,Northeast,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
500,60-69,White,,No,Suburban,Urban,South,"More than $200,000",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Moderate,Male
501,60-69,White,,No,Rural,Rural,Northeast,"$35,000 - $49,999",Bachelor's degree,Retired,I live with family members,,Very conservative,Male
502,60-69,White,,No,Urban,Suburban,Midwest,"$50,000 - $74,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Somewhat conservative,Female
503,80-89,White,,No,Urban,Suburban,West,"$35,000 - $49,999",Bachelor's degree,Retired,I live alone,,Moderate,Male
504,50-59,White,,No,Rural,Rural,South,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live with family members,,Somewhat conservative,Male
505,50-59,White,,No,Suburban,Suburban,Midwest,"$15,000 - $24,999",Some college or associate's degree,Retired,I live with family members,,Very liberal,Female
506,60-69,White,,No,Suburban,Suburban,Midwest,"$50,000 - $74,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Female
507,60-69,White,,No,Suburban,Suburban,West,"$100,000 - $149,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
508,60-69,White,,No,Suburban,Rural,South,"$35,000 - $49,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Female
509,60-69,White,,No,Suburban,Suburban,West,"$75,000 - $99,999",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Very conservative,Male
510,70-79,White,,No,Urban,Rural,Midwest,"$35,000 - $49,999",Graduate or professional degree,Retired,I live alone,,Somewhat liberal,Female
511,50-59,White,,No,Suburban,Rural,West,"Less than $10,000","High school graduate, GED, or equivalent",Unemployed,I live with family members,,Moderate,Female
512,70-79,White,,No,Suburban,Rural,South,"$15,000 - $24,999",Bachelor's degree,Retired,I live alone,,Somewhat conservative,Female
513,70-79,White,,No,Rural,Rural,West,"$25,000 - $34,999","High school graduate, GED, or equivalent",Retired,I live alone,,Very conservative,Female
514,60-69,White,,No,Urban,Urban,Midwest,"$15,000 - $24,999",Some college or associate's degree,Working full-time,I live alone,,Moderate,Male
515,70-79,White,,No,Urban,Suburban,South,"$50,000 - $74,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
516,70-79,White,,No,Suburban,Suburban,Midwest,"$35,000 - $49,999",Bachelor's degree,Retired,I live alone,,Somewhat conservative,Male
517,50-59,White,,No,Suburban,Suburban,South,"$15,000 - $24,999","High school graduate, GED, or equivalent",Working full-time,I live with family members,,Somewhat liberal,Male
518,70-79,White,,No,Urban,Suburban,South,"$150,000 - $199,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
519,70-79,White,,No,Suburban,Rural,South,"$35,000 - $49,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Male
520,60-69,White,,No,Suburban,Suburban,Northeast,"$100,000 - $149,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Very conservative,Male
521,50-59,Black or African American,,No,Urban,Urban,South,"$35,000 - $49,999",Some college or associate's degree,Working part-time,I live alone,,Moderate,Male
522,60-69,White,,No,Suburban,Suburban,Midwest,"$50,000 - $74,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
523,60-69,White,,Yes,Suburban,Suburban,Midwest,"$150,000 - $199,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
524,60-69,White,,No,Suburban,Suburban,South,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
525,50-59,White,,No,Suburban,Suburban,South,"$75,000 - $99,999",Graduate or professional degree,Working full-time,I live alone,,Somewhat conservative,Male
526,50-59,White,,No,Suburban,Suburban,Midwest,"More than $200,000",Bachelor's degree,Retired,I live with family members,,Somewhat conservative,Male
527,60-69,White,,No,Urban,Urban,Midwest,"$35,000 - $49,999",Some college or associate's degree,Retired,I live alone,,Somewhat conservative,Male
528,60-69,Black or African American,,No,Urban,Urban,Midwest,"$150,000 - $199,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Very liberal,Male
529,60-69,White,,No,Urban,Urban,Northeast,"$100,000 - $149,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
530,60-69,White,,No,Suburban,Suburban,South,"$35,000 - $49,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat liberal,Male
531,70-79,White,,No,Suburban,Suburban,South,"$75,000 - $99,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Very conservative,Male
532,70-79,White,,No,Urban,Suburban,West,"$75,000 - $99,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
533,50-59,White,,No,Rural,Rural,South,"$35,000 - $49,999","High school graduate, GED, or equivalent",Working full-time,I live alone,,Moderate,Male
534,60-69,White,,No,Urban,Urban,Northeast,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live alone,,Moderate,Male
535,60-69,White,,No,Suburban,Suburban,Midwest,"$75,000 - $99,999",Graduate or professional degree,Retired,I live alone,,Moderate,Male
536,70-79,White,,No,Suburban,Suburban,Northeast,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
537,60-69,White,,No,Urban,Rural,Northeast,"$25,000 - $34,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Very conservative,Male
538,70-79,White,,No,Urban,Suburban,West,"$75,000 - $99,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Moderate,Male
539,50-59,White,,No,Suburban,Suburban,South,"$35,000 - $49,999",Some college or associate's degree,Working full-time,I live with family members,,Somewhat conservative,Male
540,60-69,White,,No,Rural,Suburban,Northeast,"$75,000 - $99,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Moderate,Male
541,60-69,White,,No,Suburban,Suburban,South,"$75,000 - $99,999","High school graduate, GED, or equivalent",On disability,I live with a spouse or romantic partner,,Moderate,Male
542,60-69,White,,No,Suburban,Suburban,West,"$100,000 - $149,999",Graduate or professional degree,Working part-time,I live with a spouse or romantic partner,,Somewhat liberal,Male
543,60-69,White,,No,Urban,Suburban,West,"$75,000 - $99,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Moderate,Male
544,50-59,White,,No,Rural,Rural,West,"$15,000 - $24,999",Some college or associate's degree,Working part-time,I live with a spouse or romantic partner,,Somewhat liberal,Male
545,50-59,White,,No,Urban,Urban,West,"Less than $10,000",Some college or associate's degree,Working part-time,I live alone,,Very conservative,Male
546,50-59,White,,No,Urban,Urban,South,"$35,000 - $49,999",Some college or associate's degree,Unemployed,I live with a spouse or romantic partner,,Moderate,Male
547,60-69,White,,No,Suburban,Rural,South,"$100,000 - $149,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
548,70-79,White,,No,Suburban,Suburban,South,"$35,000 - $49,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Very conservative,Male
549,50-59,White,,No,Suburban,Suburban,South,"$35,000 - $49,999",Some college or associate's degree,Working part-time,I live with a spouse or romantic partner,,Moderate,Male
550,60-69,White,,No,Urban,Urban,West,"$50,000 - $74,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
551,60-69,White,,No,Suburban,Suburban,South,"$35,000 - $49,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
552,70-79,White,,No,Rural,Suburban,West,"$100,000 - $149,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Moderate,Male
553,70-79,White,,No,Urban,Suburban,South,"$35,000 - $49,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
554,50-59,White,,No,Rural,Suburban,South,"More than $200,000",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
555,70-79,White,,No,Suburban,Suburban,West,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Moderate,Male
556,50-59,White,,No,Rural,Rural,West,"Less than $10,000",Some college or associate's degree,On disability,I live alone,,Somewhat conservative,Male
557,70-79,White,,No,Suburban,Suburban,West,"$25,000 - $34,999",Some college or associate's degree,Retired,I live alone,,Somewhat liberal,Male
558,60-69,White,,No,Suburban,Rural,West,"$50,000 - $74,999",Some college or associate's degree,Working part-time,I live with a spouse or romantic partner,,Very conservative,Male
559,50-59,White,,No,Suburban,Suburban,West,"$50,000 - $74,999",Some college or associate's degree,Retired,I live alone,,Somewhat conservative,Male
560,50-59,White,,No,Suburban,Suburban,West,"$50,000 - $74,999",Some college or associate's degree,Working part-time,I live with family members,,Moderate,Male
561,50-59,White,,No,Rural,Suburban,West,"$100,000 - $149,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
562,60-69,White,,No,Urban,Rural,West,"$35,000 - $49,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Very liberal,Male
563,50-59,White,,No,Suburban,Suburban,West,"$25,000 - $34,999",Some college or associate's degree,Working part-time,I live alone,,Somewhat liberal,Male
564,60-69,White,,No,Rural,Suburban,West,"$50,000 - $74,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
565,50-59,White,,No,Rural,Suburban,West,"$35,000 - $49,999","High school graduate, GED, or equivalent",Working full-time,I live with a spouse or romantic partner,,Somewhat liberal,Male
566,50-59,White,,No,Suburban,Suburban,West,"$75,000 - $99,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat liberal,Male
567,50-59,Asian,,No,Urban,Urban,West,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
568,50-59,White,,Yes,Suburban,Suburban,South,"$15,000 - $24,999",Some college or associate's degree,Working full-time,I live with family members,,Very conservative,Male
569,50-59,White,,No,Suburban,Suburban,West,"$25,000 - $34,999",Bachelor's degree,Retired,I live alone,,Somewhat conservative,Female
570,50-59,White,,Yes,Urban,Urban,West,"$75,000 - $99,999",Some college or associate's degree,Working full-time,I live with family members,,Somewhat liberal,Female
571,60-69,Black or African American,,Yes,Urban,Urban,Northeast,"Less than $10,000",Some college or associate's degree,Working part-time,I live with family members,,Moderate,Male
572,60-69,White,,Yes,Suburban,Suburban,West,"$15,000 - $24,999",Some college or associate's degree,Retired,I live alone,,Moderate,Female
573,70-79,White,,No,Rural,Rural,South,"$75,000 - $99,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Female
574,50-59,Other,,No,Rural,Rural,South,"Less than $10,000","High school graduate, GED, or equivalent",On disability,I live with family members,,Moderate,Female
575,60-69,White,,No,Rural,Suburban,South,"$25,000 - $34,999","High school graduate, GED, or equivalent",Retired,I live with family members,,Moderate,Female
576,60-69,White,,Yes,Urban,Rural,Midwest,"$75,000 - $99,999",Less than high school,Retired,I live with a spouse or romantic partner,,Very liberal,Female
577,50-59,White,,Yes,Suburban,Suburban,West,"$100,000 - $149,999",Bachelor's degree,Working full-time,Other,live with elderly parent,Somewhat conservative,Female
578,60-69,White,,Yes,Rural,Suburban,South,"$50,000 - $74,999",Bachelor's degree,Working part-time,I live with family members,,Very liberal,Female
579,50-59,White,,Yes,Suburban,Suburban,South,"$75,000 - $99,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
580,50-59,White,,Yes,Urban,Urban,West,"$35,000 - $49,999","High school graduate, GED, or equivalent",Retired,I live alone,,Very conservative,Female
581,50-59,White,,No,Rural,Urban,South,"$10,000 - $14,999",Bachelor's degree,On disability,I live with family members,,Moderate,Female
582,60-69,White,,No,Urban,Urban,Midwest,"$50,000 - $74,999",Bachelor's degree,Unemployed,I live with a spouse or romantic partner,,Somewhat liberal,Male
583,60-69,White,,Yes,Suburban,Urban,West,"$15,000 - $24,999",Bachelor's degree,On disability,I live alone,,Very conservative,Male
584,50-59,Black or African American,,No,Suburban,Suburban,South,"$25,000 - $34,999","High school graduate, GED, or equivalent",Working full-time,I live with a spouse or romantic partner,,Very conservative,Male
585,50-59,White,,Yes,Rural,Rural,Midwest,"Less than $10,000",Some college or associate's degree,Working part-time,I live alone,,Moderate,Female
586,60-69,White,,Yes,Urban,Urban,South,"$100,000 - $149,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
587,50-59,White,,Yes,Urban,Urban,West,"$75,000 - $99,999",Bachelor's degree,Working full-time,I live with family members,,Moderate,Male
588,50-59,White,,Yes,Urban,Suburban,Northeast,"$10,000 - $14,999",Some college or associate's degree,Working full-time,Other,Roommates,Very liberal,Female
589,50-59,White,,No,Urban,Rural,Northeast,"$75,000 - $99,999",Some college or associate's degree,On disability,I live with a spouse or romantic partner,,Somewhat liberal,Female
590,50-59,White,,Yes,Rural,Rural,South,"$25,000 - $34,999",Bachelor's degree,Working full-time,I live alone,,Somewhat liberal,Female
