annotator_id,age_range,education,gender,gender_other,identify_as_transgender,is_parent,lgbtq_status,personally_been_target,personally_seen_toxic_content,political_affilation,race,religion_important,technology_impact,toxic_comments_problem,uses_media_forums,uses_media_news,uses_media_social,uses_media_video
3291,18 - 24,Some college but no degree,Female,,No,No,Heterosexual,False,True,Liberal,White,Prefer not to say,Somewhat positive,Frequently a problem,True,True,True,True
3292,35 - 44,Some college but no degree,Male,,No,Yes,Heterosexual,False,False,Conservative,White,Not too important,Somewhat positive,Frequently a problem,False,True,True,False
3293,18 - 24,Associate degree in college (2-year),Nonbinary,,Yes,No,Bisexual,False,False,Liberal,Asian,Not too important,Somewhat negative,Frequently a problem,False,False,True,True
3294,35 - 44,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,True,Independent,White,Somewhat important,Somewhat positive,Occasionally a problem,False,False,True,True
3295,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,True,True,Conservative,Black or African American,Somewhat important,Somewhat positive,Occasionally a problem,True,False,True,True
3296,25 - 34,Master's degree,Female,,No,No,Homosexual,False,True,Independent,White,Very important,Somewhat positive,Occasionally a problem,False,False,True,True
3297,35 - 44,High school graduate (high school diploma or equivalent including GED),Male,,No,No,Heterosexual,True,True,Conservative,White,Not important,Somewhat positive,Occasionally a problem,True,True,True,True
3298,45 - 54,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Conservative,White,Somewhat important,Somewhat positive,Very frequently a problem,True,False,True,True
3299,65 or older,Associate degree in college (2-year),Female,,No,Yes,Heterosexual,False,True,Conservative,White,Very important,Somewhat positive,Rarely a problem,False,False,True,True
3300,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,True,Conservative,White,Not important,Somewhat positive,Occasionally a problem,True,True,True,True
3301,25 - 34,Master's degree,Male,,No,No,Heterosexual,False,False,Independent,White,Somewhat important,Very positive,Frequently a problem,False,False,True,True
3302,25 - 34,Associate degree in college (2-year),Female,,No,Yes,Heterosexual,False,False,Liberal,Black or African American,Very important,Somewhat negative,Very frequently a problem,False,False,True,True
3303,55 - 64,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,False,Conservative,Black or African American,Very important,Somewhat positive,Occasionally a problem,False,False,True,True
3304,18 - 24,Associate degree in college (2-year),Female,,No,No,Heterosexual,False,True,Independent,White,Not important,Somewhat negative,Frequently a problem,True,False,True,True
3305,55 - 64,Master's degree,Male,,No,Yes,Heterosexual,False,True,Independent,White,Not important,Very positive,Frequently a problem,True,True,True,True
3306,25 - 34,Master's degree,Female,,No,Yes,Heterosexual,False,False,Conservative,White,Very important,Somewhat positive,Frequently a problem,False,True,True,True
3307,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Bisexual,True,True,Conservative,White,Very important,Somewhat positive,Rarely a problem,False,False,True,False
3308,35 - 44,High school graduate (high school diploma or equivalent including GED),Male,,No,Yes,Heterosexual,False,True,Conservative,White,Not important,Neutral â neither positive nor negative,Very frequently a problem,False,True,True,True
3309,55 - 64,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Independent,White,Not too important,Very positive,Rarely a problem,True,False,True,True
3310,35 - 44,Bachelor's degree in college (4-year),Nonbinary,,No,Yes,Homosexual,False,True,Independent,Black or African American,Somewhat important,Somewhat positive,Frequently a problem,True,True,True,True
3311,25 - 34,Some college but no degree,Male,,No,Yes,Heterosexual,True,True,Liberal,Asian,Not important,Very positive,Frequently a problem,True,False,False,True
3312,18 - 24,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,True,Liberal,Asian,Not too important,Somewhat positive,Rarely a problem,True,False,True,True
3313,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,True,True,Liberal,White,Very important,Somewhat positive,Frequently a problem,False,False,True,True
3314,35 - 44,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,False,True,Conservative,White,Very important,Very positive,Occasionally a problem,True,True,True,False
3315,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Bisexual,False,False,Liberal,Black or African American,Very important,Very positive,Occasionally a problem,False,False,True,False
3316,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,True,True,Independent,White,Not too important,Somewhat negative,Frequently a problem,True,True,True,True
3317,35 - 44,High school graduate (high school diploma or equivalent including GED),Female,,No,No,Heterosexual,True,True,Conservative,White,Very important,Somewhat positive,Frequently a problem,False,False,True,False
3318,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,True,True,Liberal,White,Somewhat important,Somewhat positive,Frequently a problem,True,False,True,True
3319,18 - 24,Some college but no degree,Female,,No,No,Bisexual,False,True,Independent,White,Somewhat important,Very positive,Frequently a problem,False,False,True,True
3320,25 - 34,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,True,True,Independent,White,Not important,Somewhat negative,Occasionally a problem,True,True,True,True
3321,18 - 24,Some college but no degree,Male,,No,No,Heterosexual,False,True,Liberal,"White,Asian",Not important,Very positive,Rarely a problem,True,False,True,True
3322,45 - 54,Master's degree,Male,,No,Yes,Heterosexual,False,True,Independent,White,Very important,Somewhat positive,Frequently a problem,True,True,True,True
3323,25 - 34,Master's degree,Female,,No,Yes,Heterosexual,False,True,Independent,White,Somewhat important,Somewhat positive,Very frequently a problem,False,False,True,True
3324,25 - 34,High school graduate (high school diploma or equivalent including GED),Male,,No,No,Heterosexual,False,False,Liberal,White,Not important,Very positive,Occasionally a problem,True,True,True,True
3325,25 - 34,Associate degree in college (2-year),Female,,No,Yes,Heterosexual,False,False,Independent,White,Very important,Very positive,Very frequently a problem,True,True,True,True
3326,18 - 24,Bachelor's degree in college (4-year),Prefer not to say,,Prefer not to say,No,Heterosexual,True,True,Independent,White,Not important,Very positive,Not a problem,True,False,True,True
3327,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,True,Independent,Black or African American,Very important,Somewhat negative,Occasionally a problem,False,False,True,True
3328,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,False,True,Independent,White,Somewhat important,Somewhat positive,Occasionally a problem,True,True,True,True
3329,18 - 24,Bachelor's degree in college (4-year),Male,,No,No,Homosexual,False,False,Independent,White,Not too important,Neutral â neither positive nor negative,Occasionally a problem,False,False,True,False
3330,45 - 54,Master's degree,Male,,No,Yes,Heterosexual,True,True,Independent,White,Very important,Neutral â neither positive nor negative,Frequently a problem,True,True,True,True
3331,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,True,Liberal,White,Not too important,Somewhat negative,Occasionally a problem,False,True,True,True
3332,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,True,True,Independent,White,Somewhat important,Very positive,Rarely a problem,False,False,True,False
3333,25 - 34,Some college but no degree,Male,,No,No,Prefer not to say,False,False,Conservative,White,Not important,Somewhat negative,Frequently a problem,True,True,False,True
3334,35 - 44,Some college but no degree,Female,,No,Yes,Heterosexual,True,True,Liberal,White,Somewhat important,Somewhat positive,Frequently a problem,True,False,True,True
3335,35 - 44,Some college but no degree,Male,,No,Yes,Heterosexual,False,True,Prefer not to say,White,Not important,Somewhat negative,Very frequently a problem,True,True,True,True
3336,65 or older,Associate degree in college (2-year),Female,,No,Yes,Heterosexual,True,True,Conservative,White,Somewhat important,Somewhat positive,Occasionally a problem,False,True,True,True
3337,35 - 44,Some college but no degree,Male,,No,Yes,Heterosexual,False,True,Liberal,White,Not important,Somewhat positive,Very frequently a problem,True,True,True,True
3338,25 - 34,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Independent,Black or African American,Very important,Somewhat positive,Frequently a problem,False,False,True,True
3339,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,False,True,Liberal,White,Not too important,Very positive,Frequently a problem,False,True,True,False
3340,25 - 34,Master's degree,Female,,No,Yes,Heterosexual,False,True,Liberal,White,Somewhat important,Neutral â neither positive nor negative,Frequently a problem,True,True,True,True
3341,25 - 34,Master's degree,Female,,No,No,Heterosexual,False,True,Liberal,White,Not too important,Somewhat negative,Occasionally a problem,True,True,True,True
3342,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,True,True,Conservative,White,Not too important,Somewhat positive,Frequently a problem,False,False,True,True
3343,35 - 44,High school graduate (high school diploma or equivalent including GED),Female,,No,Yes,Heterosexual,False,True,Independent,White,Not important,Neutral â neither positive nor negative,Not a problem,False,True,True,True
3344,35 - 44,High school graduate (high school diploma or equivalent including GED),Female,,No,Yes,Heterosexual,False,False,Prefer not to say,Black or African American,Very important,Neutral â neither positive nor negative,Occasionally a problem,False,False,True,False
3345,18 - 24,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,True,True,Independent,White,Very important,Neutral â neither positive nor negative,Occasionally a problem,True,False,True,True
3346,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,False,Independent,White,Somewhat important,Somewhat positive,Occasionally a problem,False,False,False,True
3347,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,True,False,Independent,White,Not too important,Somewhat positive,Frequently a problem,True,False,True,True
3348,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Prefer not to say,True,True,Liberal,Other,Very important,Somewhat positive,Frequently a problem,True,False,True,True
3349,25 - 34,Master's degree,Male,,No,No,Heterosexual,False,True,Liberal,White,Not important,Very positive,Frequently a problem,False,True,True,True
3350,45 - 54,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Independent,White,Very important,Somewhat positive,Frequently a problem,True,True,True,True
3351,18 - 24,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,True,Independent,White,Not too important,Neutral â neither positive nor negative,Frequently a problem,True,True,True,True
3352,35 - 44,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,True,True,Liberal,Black or African American,Somewhat important,Neutral â neither positive nor negative,Occasionally a problem,False,False,True,False
3353,35 - 44,Some college but no degree,Female,,No,Yes,Heterosexual,False,False,Conservative,White,Somewhat important,Somewhat positive,Occasionally a problem,False,False,True,True
3354,18 - 24,Some college but no degree,Female,,No,No,Other,False,True,Independent,Black or African American,Not important,Somewhat positive,Occasionally a problem,False,False,True,True
3355,18 - 24,Some college but no degree,Male,,No,No,Heterosexual,False,True,Liberal,White,Not important,Somewhat positive,Occasionally a problem,True,True,True,True
3356,45 - 54,Master's degree,Female,,Yes,Yes,Homosexual,True,True,Independent,White,Somewhat important,Neutral â neither positive nor negative,Occasionally a problem,True,True,True,True
3357,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,True,Liberal,White,Somewhat important,Neutral â neither positive nor negative,Occasionally a problem,False,False,True,True
3358,18 - 24,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,True,Liberal,White,Somewhat important,Somewhat positive,Frequently a problem,True,True,True,True
3359,25 - 34,Some college but no degree,Female,,No,Yes,Heterosexual,True,True,Independent,White,Very important,Somewhat negative,Very frequently a problem,True,True,True,True
3360,55 - 64,Bachelor's degree in college (4-year),Female,,No,Yes,,False,False,Liberal,Black or African American,Very important,Very positive,Occasionally a problem,False,False,True,False
3361,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,False,Prefer not to say,Other,Not important,Somewhat negative,Frequently a problem,False,False,True,True
3362,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,True,True,Liberal,White,Not too important,Somewhat negative,Frequently a problem,True,True,True,False
3363,35 - 44,Associate degree in college (2-year),Male,,No,Yes,Heterosexual,False,False,Liberal,Black or African American,Somewhat important,Somewhat positive,Occasionally a problem,True,True,False,True
3364,45 - 54,High school graduate (high school diploma or equivalent including GED),Female,,No,Yes,Heterosexual,False,True,Independent,White,Somewhat important,Somewhat positive,Very frequently a problem,True,True,True,True
3365,25 - 34,High school graduate (high school diploma or equivalent including GED),Female,,No,No,Heterosexual,False,False,Conservative,White,Not important,Neutral â neither positive nor negative,Occasionally a problem,False,True,False,True
3366,25 - 34,Master's degree,Female,,No,No,Heterosexual,False,True,Liberal,Asian,Very important,Somewhat positive,Frequently a problem,True,True,True,True
3367,25 - 34,Master's degree,Male,,No,No,Heterosexual,True,True,Conservative,White,Somewhat important,Very positive,Rarely a problem,False,False,True,True
3368,45 - 54,Some college but no degree,Female,,No,Yes,Heterosexual,True,True,Prefer not to say,White,Somewhat important,Somewhat negative,Frequently a problem,True,False,True,True
3369,25 - 34,Associate degree in college (2-year),Female,,No,Yes,Bisexual,True,True,Independent,White,Very important,Somewhat positive,Frequently a problem,True,False,True,True
3370,25 - 34,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,True,True,Conservative,White,Very important,Somewhat negative,Frequently a problem,False,True,True,False
3371,35 - 44,Some college but no degree,Male,,No,Yes,Heterosexual,False,True,Independent,White,Not too important,Neutral â neither positive nor negative,Occasionally a problem,False,False,True,True
3372,35 - 44,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,True,Liberal,White,Not too important,Somewhat positive,Occasionally a problem,True,True,True,True
3373,35 - 44,Associate degree in college (2-year),Male,,No,Yes,Heterosexual,False,True,Liberal,White,Not important,Neutral â neither positive nor negative,Occasionally a problem,True,False,True,True
3374,18 - 24,High school graduate (high school diploma or equivalent including GED),Female,,No,No,Heterosexual,True,True,Liberal,White,Not important,Somewhat positive,Frequently a problem,False,False,True,True
3375,18 - 24,Associate degree in college (2-year),Female,,No,No,Heterosexual,False,False,Independent,"White,Black or African American",Very important,Very positive,Not a problem,True,False,True,True
3376,35 - 44,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,True,Conservative,White,Very important,Somewhat negative,Occasionally a problem,False,True,True,True
3377,25 - 34,Some college but no degree,Female,,No,No,Homosexual,True,True,Liberal,White,Not important,Somewhat positive,Frequently a problem,True,True,True,True
3378,25 - 34,Master's degree,Male,,No,No,Heterosexual,False,False,Conservative,White,Very important,Somewhat positive,Rarely a problem,False,False,True,False
3379,18 - 24,Associate degree in college (2-year),Female,,No,No,Heterosexual,True,True,Independent,White,Not important,Somewhat positive,Very frequently a problem,True,False,True,True
3380,25 - 34,Master's degree,Nonbinary,,Yes,No,Bisexual,False,True,Liberal,White,Not too important,Somewhat positive,Frequently a problem,True,True,True,True
3381,35 - 44,Some college but no degree,Female,,No,Yes,Heterosexual,False,True,Conservative,White,Very important,Somewhat negative,Rarely a problem,True,False,True,True
3382,45 - 54,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,False,False,Independent,White,Very important,Somewhat negative,Frequently a problem,False,True,True,True
3383,45 - 54,High school graduate (high school diploma or equivalent including GED),Female,,No,Yes,Heterosexual,True,True,Liberal,White,Somewhat important,Somewhat negative,Not a problem,False,False,True,True
3384,35 - 44,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,False,Liberal,Asian,Very important,Neutral â neither positive nor negative,Very frequently a problem,True,False,True,True
3385,35 - 44,Bachelor's degree in college (4-year),Male,,No,Yes,Bisexual,True,True,Liberal,White,Very important,Very positive,Frequently a problem,False,False,True,True
3386,25 - 34,"Professional degree (JD, MD)",Female,,No,Yes,Heterosexual,False,True,Liberal,Asian,Not too important,Somewhat positive,Occasionally a problem,True,True,True,True
3387,25 - 34,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,True,True,Liberal,White,Somewhat important,Somewhat positive,Frequently a problem,True,False,True,True
3388,25 - 34,Less than high school degree,Male,,No,Yes,Heterosexual,True,True,Conservative,White,Somewhat important,Somewhat positive,Frequently a problem,True,True,True,True
3389,18 - 24,Bachelor's degree in college (4-year),Female,,No,No,Bisexual,False,True,Prefer not to say,Black or African American,Not too important,Somewhat positive,Frequently a problem,True,False,True,True
3390,45 - 54,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Liberal,White,Not important,Somewhat positive,Occasionally a problem,True,True,True,True
3391,65 or older,Associate degree in college (2-year),Female,,No,Yes,Heterosexual,False,True,Other,White,Very important,Neutral â neither positive nor negative,Frequently a problem,False,True,False,True
3392,55 - 64,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,False,Conservative,Black or African American,Very important,Very positive,Frequently a problem,False,False,True,True
3393,25 - 34,Master's degree,Male,,No,Yes,Bisexual,True,True,Independent,White,Very important,Somewhat positive,Occasionally a problem,False,False,False,True
3394,25 - 34,Associate degree in college (2-year),Male,,No,No,Heterosexual,False,True,Independent,Hispanic,Not important,Neutral â neither positive nor negative,Frequently a problem,True,False,True,True
3395,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,True,True,Prefer not to say,Black or African American,Very important,Somewhat negative,Occasionally a problem,False,False,True,True
3396,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,True,True,Liberal,White,Somewhat important,Somewhat positive,Not a problem,False,True,True,True
3397,25 - 34,Master's degree,Female,,No,No,Heterosexual,False,True,Liberal,White,Not too important,Somewhat negative,Rarely a problem,False,True,True,True
3398,55 - 64,Some college but no degree,Male,,No,Yes,Heterosexual,False,False,Liberal,Black or African American,Very important,Somewhat negative,Not a problem,False,False,True,True
3399,25 - 34,Master's degree,Female,,No,No,Heterosexual,True,True,Liberal,White,Very important,Somewhat positive,Rarely a problem,True,True,False,True
3400,18 - 24,High school graduate (high school diploma or equivalent including GED),Female,,No,Yes,Heterosexual,False,True,Independent,White,Somewhat important,Somewhat negative,Frequently a problem,False,False,True,True
3401,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,,False,True,Conservative,White,Somewhat important,Somewhat positive,Frequently a problem,True,True,True,True
3402,25 - 34,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Conservative,Black or African American,Very important,Very positive,Rarely a problem,True,True,True,True
3403,25 - 34,Some college but no degree,Male,,No,No,Heterosexual,True,True,Conservative,Asian,Not important,Very positive,Rarely a problem,True,False,True,True
3404,35 - 44,Some college but no degree,Female,,No,No,Heterosexual,False,True,Independent,White,Not too important,Neutral â neither positive nor negative,Occasionally a problem,True,False,True,True
3405,25 - 34,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Independent,American Indian or Alaska Native,Very important,Somewhat positive,Rarely a problem,False,False,True,True
3406,25 - 34,Some college but no degree,Female,,No,Yes,Heterosexual,False,True,Liberal,White,Not important,Somewhat positive,Frequently a problem,True,False,True,True
3407,45 - 54,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Conservative,White,Somewhat important,Somewhat positive,Frequently a problem,False,True,True,True
3408,35 - 44,Some college but no degree,Female,,No,Yes,Heterosexual,False,True,Liberal,White,Not too important,Somewhat positive,Frequently a problem,False,True,True,True
3409,18 - 24,Associate degree in college (2-year),Male,,No,No,Other,True,True,Prefer not to say,White,Not important,Neutral â neither positive nor negative,Frequently a problem,True,True,False,True
3410,35 - 44,Master's degree,Female,,No,Yes,Heterosexual,False,True,Liberal,"White,Other",Not important,Somewhat negative,Frequently a problem,True,True,True,True
3411,35 - 44,High school graduate (high school diploma or equivalent including GED),Female,,No,Yes,Bisexual,True,True,Independent,White,Somewhat important,Neutral â neither positive nor negative,Frequently a problem,True,True,True,True
3412,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Bisexual,True,True,Conservative,Black or African American,Very important,Very positive,Not a problem,False,False,True,False
3413,25 - 34,Master's degree,Female,,No,No,Heterosexual,True,True,Liberal,White,Somewhat important,Somewhat positive,Rarely a problem,True,False,True,True
3414,25 - 34,Some college but no degree,Male,,No,No,Heterosexual,False,True,Independent,White,Very important,Somewhat negative,Rarely a problem,True,False,False,True
3415,55 - 64,Master's degree,Male,,No,No,Heterosexual,False,True,Independent,White,Not important,Somewhat positive,Occasionally a problem,False,False,True,True
3416,25 - 34,Some college but no degree,Female,,No,Yes,Heterosexual,False,True,Independent,Black or African American,Somewhat important,Neutral â neither positive nor negative,Occasionally a problem,True,False,True,True
3417,35 - 44,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Conservative,White,Very important,Somewhat positive,Frequently a problem,False,False,True,True
3418,45 - 54,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,True,Other,White,Not important,Somewhat positive,Occasionally a problem,True,True,True,True
3419,45 - 54,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Liberal,White,Not important,Somewhat negative,Occasionally a problem,False,False,True,True
3420,35 - 44,Master's degree,Female,,No,Yes,Heterosexual,True,True,Conservative,White,Somewhat important,Somewhat positive,Frequently a problem,True,False,True,True
3421,35 - 44,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,False,Liberal,White,Very important,Very positive,Rarely a problem,False,True,True,True
3422,25 - 34,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,True,True,Liberal,,Somewhat important,Very positive,Occasionally a problem,False,True,True,True
3423,25 - 34,Some college but no degree,Female,,No,Yes,Bisexual,False,True,Liberal,Black or African American,Somewhat important,Somewhat positive,Rarely a problem,False,False,True,True
3424,25 - 34,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,True,True,Independent,White,Somewhat important,Somewhat positive,Very frequently a problem,True,True,True,True
3425,25 - 34,Bachelor's degree in college (4-year),Male,,Yes,Yes,Heterosexual,True,True,Independent,White,Very important,Somewhat positive,Occasionally a problem,False,False,False,True
3426,35 - 44,Master's degree,Female,,No,Yes,Heterosexual,False,True,Liberal,White,Not important,Very positive,Frequently a problem,True,True,True,True
3427,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,True,Liberal,White,Not too important,Somewhat positive,Frequently a problem,True,True,True,True
3428,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Prefer not to say,False,True,Conservative,White,Somewhat important,Neutral â neither positive nor negative,Occasionally a problem,True,False,True,True
3429,35 - 44,Bachelor's degree in college (4-year),Female,,No,Yes,Bisexual,False,True,Conservative,Asian,Very important,Somewhat positive,Occasionally a problem,False,False,True,True
3430,18 - 24,High school graduate (high school diploma or equivalent including GED),Female,,No,No,Heterosexual,False,True,Liberal,White,Not too important,Somewhat positive,Occasionally a problem,False,False,True,True
3431,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,True,Prefer not to say,White,Somewhat important,Somewhat negative,Frequently a problem,True,True,True,True
3432,35 - 44,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,True,True,Liberal,"White,American Indian or Alaska Native",Not important,Somewhat positive,Occasionally a problem,False,False,True,True
3433,55 - 64,Master's degree,Female,,No,Yes,Heterosexual,True,True,Independent,"White,American Indian or Alaska Native",Not important,Somewhat positive,Very frequently a problem,True,True,False,True
3434,25 - 34,High school graduate (high school diploma or equivalent including GED),Female,,No,Yes,Heterosexual,True,True,Independent,White,Very important,Very positive,Very frequently a problem,False,False,False,True
3435,35 - 44,Associate degree in college (2-year),Female,,No,Yes,Heterosexual,False,True,Liberal,Asian,Very important,Very negative,Very frequently a problem,True,True,True,True
3436,18 - 24,Bachelor's degree in college (4-year),Female,,No,No,Bisexual,False,True,Liberal,"White,Black or African American",Not important,Somewhat positive,Occasionally a problem,False,False,True,True
3437,25 - 34,Associate degree in college (2-year),Male,,No,No,Heterosexual,False,True,Conservative,White,Somewhat important,Somewhat negative,Frequently a problem,False,False,True,True
3438,25 - 34,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,False,Conservative,White,Very important,Somewhat positive,Occasionally a problem,True,True,True,True
3439,35 - 44,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,True,Liberal,White,Not important,Somewhat positive,Occasionally a problem,True,True,True,True
3440,45 - 54,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,True,Liberal,Black or African American,Not important,Somewhat positive,Frequently a problem,True,True,True,True
3441,35 - 44,Associate degree in college (2-year),Male,,No,No,Heterosexual,False,True,Liberal,Black or African American,Very important,Neutral â neither positive nor negative,Frequently a problem,True,False,True,True
3442,35 - 44,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,True,Independent,White,Not important,Somewhat positive,Frequently a problem,True,True,True,True
3443,18 - 24,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,True,Liberal,Asian,Very important,Very positive,Occasionally a problem,False,True,True,True
3444,25 - 34,Some college but no degree,Female,,No,No,Prefer not to say,False,True,Prefer not to say,Hispanic,Very important,Somewhat positive,Very frequently a problem,False,False,True,True
3445,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,True,Conservative,White,Not too important,Very positive,Rarely a problem,True,True,True,True
3446,18 - 24,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,True,Independent,Black or African American,Very important,Somewhat positive,Not a problem,False,True,True,True
3447,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,True,True,Conservative,White,Somewhat important,Very positive,Frequently a problem,True,True,True,True
3448,25 - 34,"Professional degree (JD, MD)",Female,,No,No,Heterosexual,False,True,Independent,White,Not important,Somewhat positive,Frequently a problem,True,True,True,True
3449,45 - 54,High school graduate (high school diploma or equivalent including GED),Female,,No,Yes,Heterosexual,False,True,Independent,White,Very important,Very positive,Occasionally a problem,False,False,True,True
3450,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,True,Independent,White,Very important,Very positive,Frequently a problem,True,False,True,True
3451,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,True,Independent,White,Somewhat important,Very positive,Occasionally a problem,True,False,False,True
3452,18 - 24,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,True,True,Prefer not to say,White,Somewhat important,Somewhat positive,Very frequently a problem,True,False,True,True
3453,35 - 44,Master's degree,Female,,No,No,Heterosexual,False,True,Conservative,White,Very important,Somewhat positive,Frequently a problem,True,True,True,False
3454,45 - 54,Master's degree,Male,,No,Yes,Heterosexual,False,False,Independent,White,Not important,Somewhat positive,Frequently a problem,True,True,True,True
3455,35 - 44,Bachelor's degree in college (4-year),Female,,No,Yes,Bisexual,True,True,Conservative,White,Very important,Neutral â neither positive nor negative,Very frequently a problem,False,True,True,True
3456,55 - 64,Some college but no degree,Male,,No,Yes,Heterosexual,False,False,Liberal,White,Somewhat important,Neutral â neither positive nor negative,Frequently a problem,False,False,False,True
3457,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,False,True,Independent,Asian,Very important,Very positive,Occasionally a problem,True,True,True,True
3458,25 - 34,Master's degree,Female,,No,Yes,Heterosexual,False,False,Conservative,White,Very important,Very positive,Occasionally a problem,False,False,True,True
3459,25 - 34,Some college but no degree,Male,,No,Yes,Heterosexual,True,True,Liberal,White,Not important,Somewhat negative,Frequently a problem,True,False,False,True
3460,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,True,Conservative,White,Not too important,Somewhat positive,Frequently a problem,False,True,True,True
3461,35 - 44,Master's degree,Male,,No,Yes,Heterosexual,True,True,Conservative,White,Not too important,Somewhat negative,Frequently a problem,True,True,True,True
3462,25 - 34,Bachelor's degree in college (4-year),Female,,No,Yes,Bisexual,True,True,Conservative,Black or African American,Somewhat important,Very positive,Not a problem,False,True,True,True
3463,55 - 64,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,False,True,Conservative,White,Very important,Somewhat positive,Frequently a problem,True,True,True,True
3464,25 - 34,Master's degree,Female,,No,Yes,Heterosexual,False,True,Independent,Asian,Very important,Neutral â neither positive nor negative,Rarely a problem,False,False,True,True
3465,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,True,True,Conservative,White,Very important,Somewhat positive,Frequently a problem,False,True,False,False
