respondent_id,Do you consider yourself to be an older adult?,I have heard _______________ about age discrimination.,In recent years I have been discriminated against or treated more negatively by others because of my older age.,In recent years I have avoided certain social settings out of concern that I might be treated negatively because of my age.,Age discrimination is too often excused.,Age discrimination is a major problem in our society.,I have had experiences with age discrimination that have caused me mental or emotional stress.,Age discrimination is taken too seriously.,Have you or anyone you know ever seen or been the target of discrimination in the workplace based on older age?,Have you or anyone you know ever seen or been the target of discrimination based on older age while applying or interviewing for jobs?,Have you or anyone you know ever seen discriminatory depictions of older age in product marketing or advertisements?,Have you or anyone you know ever seen discriminatory depictions of older age in television shows or movies?,How acceptable do you believe it is for organizations to use age-related information in algorithms to show you targeted ads for products and services?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review employment applications?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review applications for social services?,Have you ever been aware of an automated algorithm used to review an application of yours for a job or employment?,Have you ever been aware of an automated algorithm used to present you with a product advertisement?,Have you ever been aware of an automated algorithm used to review an application of yours for a public or social service?
R_2y2BnmXIpQlx8a2,Yes,A little,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,Yes,No,Yes,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,No,Yes
R_1jBSV44Q7zd6s05,Yes,Some,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1ODLX5ydj3h6eCU,Yes,Some,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Yes,No,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_3VpulZ3VHqa5HKF,Yes,A little,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,No,Yes,Very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3FW3mUrZQFdUDMZ,Yes,Nothing,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,No
R_1MMSIYGeIXxD9hC,Yes,A great deal,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_8AfGyVB7A7KWWZj,No,Nothing,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2rITmAqupsmBlEm,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3fxByuAvCeKbQxO,No,A little,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Very acceptable,No,No,Yes
R_sXXjYWUyizJkXSx,Yes,A little,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,No,Yes,No,Yes,Not at all acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_p9JbFNjxbAWOA4p,Yes,Some,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_3ezc3XwFDfEaXdl,Yes,A little,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3si5PTYvVhQ6EgQ,Yes,A great deal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Yes,No,No,No,Very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_C2HKSccnR8362M9,Yes,Some,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2Ytuaypv8BwC8uU,Yes,A great deal,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Yes,Yes,Yes,No,Somewhat acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_5dQGu6zFWvmL2i5,No,Some,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,Yes,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Yes,No,Yes
R_1f33q09k9LvUyFZ,Yes,A great deal,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Not very acceptable,No,Yes,Yes
R_2D6oXP9D502HhUO,Yes,A little,Strongly disagree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Yes,Yes,Very acceptable,Very acceptable,Very acceptable,No,No,No
R_tE5vBhIT7fWXEYx,Yes,A great deal,Somewhat agree,Neither agree nor disagree,Strongly Agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,Yes,Yes
R_1GJ3Gf7jynLmnQ8,Yes,Some,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,No,No,Yes,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,Yes
R_33v8AIPRaybvxyA,Yes,Some,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Very acceptable,No,No,No
R_sdT4edrfKuZdA0V,No,Nothing,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_sNefZ2cS6vsSEcV,Yes,Nothing,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_1g2fuMu8AyKzAwp,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,No,No,Very acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_2QEAEbF1PMitn8s,Yes,A great deal,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_zYlAOKMo3PGH0w9,Yes,A great deal,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Not very acceptable,No,Yes,No
R_1jUGuPqDo1mmhkw,No,A great deal,Strongly agree,Somewhat agree,Strongly Agree,Strongly agree,Somewhat agree,Strongly agree,Yes,Yes,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,No
R_TuXrN7K9MU60NfH,Yes,A great deal,Strongly agree,Neither agree nor disagree,Strongly Agree,Strongly agree,Strongly agree,Somewhat disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3qIJBHysYzX7dZ8,Yes,Some,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,No,No,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_w04d6o0WUx3t8BP,Yes,Some,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,No,No,No,Not very acceptable,Somewhat acceptable,Not very acceptable,Yes,No,No
R_3I4ARcRh2jYL8sW,Yes,A great deal,Somewhat agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,Yes,Yes,Yes
R_3ewxXXE35ZGAlV6,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Somewhat acceptable,No,Yes,Yes
R_XvTa3GM51yxs2Mp,Yes,A little,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,No,No,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_1eJY3HSRRwHb8dM,Yes,Some,Strongly agree,Somewhat disagree,Strongly Agree,Somewhat agree,Somewhat agree,Somewhat agree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Not very acceptable,No,No,Yes
R_2b2ZnVVSalzLcAT,Yes,A little,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_1F9ZqNGXhGWybsL,Yes,Nothing,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,No,No,No,No,Not very acceptable,Somewhat acceptable,Not very acceptable,No,No,No
R_1gSV2K0JZYivvUq,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_30vOgVBVhd5sKnM,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_264mcZwZJKMmZsm,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Very acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_3qR8I69QvnBJul6,Yes,Some,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,Yes,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_28Hx5wAoDBbsY6F,Yes,A great deal,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Yes,No,No,No,Not very acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_2xyN6Jg30kcY8Zq,Yes,A great deal,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_OOOdJ9PpboAPnSp,Yes,A little,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_3JCKHPxrm3blrAR,Yes,Some,Somewhat agree,Strongly disagree,Strongly Agree,Somewhat agree,Strongly agree,Somewhat disagree,Yes,Yes,No,Yes,Not very acceptable,Not at all acceptable,Very acceptable,No,Yes,No
R_11jXdp3rYf4Mkcv,Yes,Some,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3h4j0z7YgVkobFA,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_w5UyiC3JF89PNZL,No,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,Yes,Not very acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_3iqdgZp8Sm71hjB,Yes,Some,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_YW8obmkRjjyHzC9,Yes,Some,Strongly agree,Strongly disagree,Strongly Agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,Yes
R_3ekoYtT5y8FrjDE,Yes,Nothing,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,No,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_1eDelLJ155MaXVk,Yes,A great deal,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_1Nlaetv4Xpwfn1m,Yes,A little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_dhxNRvn0W2VuDsJ,Yes,Some,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,Yes,No,No,Not very acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_3no5gfxbsLn1tix,No,A great deal,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Yes,No,No,No,Not very acceptable,Not at all acceptable,Somewhat acceptable,Yes,Yes,Yes
R_sOwOFOSXbmLreaR,Yes,Some,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Not very acceptable,No,No,No
R_1ouRhDFRzcREL8i,Yes,Some,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,No
R_1pxI0z0Ufs2PSsl,Yes,Some,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_3k7nEXsKJy0laVT,Yes,A little,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_XM8cGAZHwDra4ql,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,No,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_1yLUFjLQ9xYh7Nv,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1mCMi5IopUWT2hD,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3EGs6zeFZEQiVLq,Yes,Some,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3mgg7JZhizGxXIR,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Not very acceptable,No,No,No
R_22Y0MXvV15eUdCU,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3FJqk44Yjwk8Iqs,Yes,A little,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2uR1WmVXckbLfA7,No,Some,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,Yes,Yes,No
R_3CIYmTiKfc54UnM,Yes,Some,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2YVpmFAJLIoa7Pf,Yes,A little,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_10ViVTPZShyJKhn,Yes,A great deal,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,No,No,Not very acceptable,Not at all acceptable,Somewhat acceptable,Yes,Yes,No
R_DUjUFrSvxkhG6qd,Yes,Some,Somewhat agree,Strongly disagree,Strongly Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Yes,Yes,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2dSfwuJuwxwA9d0,Yes,A great deal,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_22lxlhuN8Ey2QeB,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_5ouOa33sITanGUN,No,A little,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,No,No,No,No,Not very acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_tPsLG8zd5VW52lX,Yes,A great deal,Somewhat agree,Somewhat agree,Strongly Agree,Strongly agree,Somewhat disagree,Strongly disagree,Yes,Yes,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_1gHi9oYZ8HPDLM1,Yes,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,No,No,No,Yes,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_3CZZuqpQrlz0b1u,Yes,A great deal,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,No,Yes,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_3LZsrKIRL7Av93N,Yes,Some,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_xDc2ppuAnM4A0vf,Yes,A little,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_rjPfu5ux8Li6f2F,No,Nothing,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3NzeZzXK4oaDq5s,Yes,A great deal,Somewhat agree,Somewhat agree,Strongly Agree,Somewhat agree,Somewhat disagree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,Yes
R_2Si4VGihyFz7Y6V,Yes,Some,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,No,No,Yes,Not at all acceptable,Not at all acceptable,Not very acceptable,No,Yes,No
R_1rrbpbIFzsjFmi8,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_AumgWa6vNQuF8Pv,Yes,Some,Somewhat disagree,Strongly disagree,Strongly Agree,Somewhat agree,Strongly disagree,Strongly disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_2yeDCbGccxEo5HB,No,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_aeN23XaXeiSFq4V,Yes,A little,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_vC56GzLk6WYapXj,No,A great deal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Yes,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Very acceptable,No,Yes,Yes
R_3esqif9DND0BvlP,Yes,A great deal,Strongly disagree,Strongly disagree,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3lzDrHje9MH7dEY,Yes,A little,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_1OjYUlAUW8wxq6F,Yes,A great deal,Somewhat agree,Strongly agree,Strongly Agree,Strongly agree,Somewhat agree,Somewhat agree,No,Yes,No,No,Somewhat acceptable,Very acceptable,Very acceptable,No,No,No
R_12tjM08FxhX9zA8,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2qg74qEE5BZexfC,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_27apjgoY2L2KIOn,Yes,A great deal,Somewhat agree,Somewhat disagree,Strongly Agree,Strongly agree,Somewhat disagree,Strongly disagree,Yes,No,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_1P6RntyUKpVnGCe,Yes,A little,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Yes,No,No,No,Not very acceptable,Very acceptable,Somewhat acceptable,No,No,No
R_1j97coM0uhz5umw,Yes,A great deal,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,No,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_Wwjyy7NQe69vzax,Yes,Some,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,No,Yes,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_333HXJXrWtCuWxi,Yes,A great deal,Strongly disagree,Strongly disagree,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2D1wMg4BGC1Si09,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3jeABW5jJnAftB8,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_1loeTToccQsJISj,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2D2KP6HOSU7CcQe,Yes,Some,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,Yes,No,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_3qmue8vWUbSWMuw,Yes,Some,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_1pQlYO62MzqBVJn,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2V4GGup4jX6YSLh,Yes,A great deal,Somewhat agree,Strongly disagree,Strongly Agree,Strongly agree,Strongly agree,Strongly disagree,Yes,No,No,Yes,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_24cIpNZXSlpn2Lt,Yes,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3U8btRYAldDTRdv,Yes,A little,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_2zBKNHSFYdsoJX2,Yes,Nothing,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2rZ1m9itlIJL7I0,Yes,Some,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Yes,No,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,No
R_1pS9dY9HZTyHWAB,Yes,A great deal,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,Yes,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3m80TH5d1hU9Qp9,Yes,A great deal,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,No,Yes,No,No,Not at all acceptable,Somewhat acceptable,Somewhat acceptable,No,No,Yes
R_1gu42mR4MGX0ykp,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
